Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Monthly Debt,Months since last delinquent,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
580b6472-e12f-4a9f-9217-3da6a3fb1f2a,68b77d5b-94b9-46b3-a979-d9ae507df0e2,Fully Paid,151954,Short Term,707,562419,7,Rent,14341.77,NA,12.5,9,1,107692,219142,0,1
32200a7e-c65e-4e5e-9878-1161d256bcfe,64dcd3aa-3c82-4c70-929a-a83d249d894a,Fully Paid,234806,Long Term,689,866799,9,Home Mortgage,3676.69,34,14.1,4,2,86051,167750,2,0
0eaa9af5-5beb-44e5-9394-5c065cd5452e,51fcba2d-c634-4e05-ba0f-9d1b3e2e70a5,Charged Off,25806,Short Term,685,742976,8,Rent,6377.16,NA,7.1,5,0,8189,47432,0,0
191a92bd-67d1-4998-b680-08489937390d,0e0fa488-b6cb-444e-b3cf-c2021a74cad8,Fully Paid,341352,Long Term,712,751108,0,Home Mortgage,10327.83,NA,13.3,11,0,81377,110858,0,0
4ada45a7-1323-4961-a8b4-45bf1c473bab,117496d1-3c6e-4299-a8f6-0e4668b6bef9,Fully Paid,301114,Long Term,645,825246,0,Rent,5948.71,53,9,10,1,59888,372746,1,0
f657d195-0fbd-4c84-8dfa-9a39431b8b93,0ce26174-19c8-48b5-8a4d-226aca78367e,Fully Paid,152790,Short Term,743,678661,10,Rent,4450.94,NA,14,5,1,119510,229086,0,0
af030a3c-f806-40b4-b8bf-d28e2afcbe62,529f45cf-801d-4844-994d-8b3b2db40bd9,Charged Off,292292,Short Term,741,666805,2,Rent,6223.45,NA,15,7,0,81016,198352,0,0
7c328801-5886-45a2-92a7-c095005c4974,248d929d-28d2-437b-a3ab-912346b03513,Fully Paid,86724,Short Term,716,580469,4,Home Mortgage,7352.62,NA,4.9,6,0,109687,182226,0,0
42caf3ac-8de9-4cb4-a41f-807c10eef70a,c746e142-7048-4f4d-b3ff-294bc3673b3c,Charged Off,83864,Short Term,699,564414,0,Rent,11711.6,NA,11.9,12,0,18639,107932,0,0
6190c851-03a3-48c0-af6d-9f7bbcf5cfa4,c8d35d40-d82a-4eed-9768-c09e61f8fe68,Charged Off,177628,Long Term,709,843771,5,Rent,5027.59,30,10.3,8,0,94221,172062,0,0
12e0bad0-ca5a-4c2d-8b7d-1e06db0f55e7,fe12ac96-f1c9-4ee1-8564-7b9c407be684,Fully Paid,128634,Short Term,695,463657,4,Home Mortgage,9891.4,NA,8.7,9,0,76133,134178,0,0
6d0453b0-ee88-4327-972f-b51d56b96693,f36aa067-20f8-4fc1-a4b3-ee8583e1771e,Charged Off,63140,Short Term,733,233681,0,Rent,2122.49,NA,14.9,3,0,58463,119592,0,0
95c49c97-c5d5-4800-931d-0f8fc88977ef,191d6883-713d-4380-96d6-417a9cc0830d,Charged Off,224796,Short Term,681,573819,1,Own Home,4925.37,32,11.4,6,0,115862,296780,0,0
b0326c0f-13d0-4199-9527-699f7a6c4420,f83594ba-4d1d-45e2-ba80-5cf51e8c35f1,Fully Paid,94974,Short Term,694,301093,1,Rent,4842.53,NA,9.3,7,0,162564,341000,0,0
0bd219a1-d1bf-4e13-9819-3e9aef1ea6fa,f104bb8f-a70d-4e89-8dae-81db356d8452,Fully Paid,163482,Short Term,711,564756,10,Rent,6447.65,NA,12.4,9,0,216809,318186,0,0
48b0843c-72d0-45ba-8b63-0d2810a79087,ca3da155-a63a-4d39-b8b4-898b0e6c28f6,Fully Paid,64526,Short Term,747,185782,0,Rent,4799.4,NA,10.1,8,0,72257,172128,0,0
b10c53c4-8588-4e10-a312-6bdcbc509e3b,decba3f3-c30b-4116-821f-b26898388a7e,Charged Off,47806,Short Term,671,835620,2,Rent,3070.97,NA,12.8,10,0,48051,60764,0,0
e303a41f-b400-40b0-a445-4fa9465eb6e9,03709adc-3272-4711-9845-70f4cb09550a,Charged Off,147576,Short Term,748,463429,2,Rent,8573.56,NA,12.9,20,0,88939,357588,0,0
3b2fe122-ee7e-4555-b1ae-961966bf383a,42790d99-2adc-4eee-9c18-1937c3b43424,Fully Paid,44792,Short Term,723,502892,7,Rent,7794.75,NA,7.5,9,1,193781,358446,0,1
2fc4e87c-eb83-4dd2-9d7e-b09b85c2e812,315c2ccc-48c7-4f48-bf39-ab34f49a8c31,Fully Paid,33154,Short Term,713,572793,10,Rent,13412.86,NA,11.8,10,2,49153,178948,2,0
ff3989d5-9c9e-4773-9d4e-0f7edc06369f,0cdf50b9-efc7-4577-8bf6-6ff6ffdf86c1,Fully Paid,353232,Short Term,712,823707,10,Home Mortgage,13659.67,NA,9.8,9,0,117496,242968,0,0
408e8e7c-acca-46b4-aab8-746e87884729,bb433d07-83ce-45b4-95aa-88f6da823bbe,Fully Paid,221056,Short Term,741,954560,10,Rent,9386.57,NA,12,19,0,117420,229658,0,0
62554497-ca41-4e12-9796-80aec68e7ae5,77cc7b59-b2db-4c65-bfb6-d878b1a228fa,Fully Paid,380622,Long Term,657,969665,3,Rent,26665.74,34,10.6,5,0,305482,377102,0,0
03758e64-f3a7-485d-8d99-3795447f7986,d0a8be34-eef9-4005-beb5-cfb5b0468222,Fully Paid,87274,Short Term,719,753692,10,Rent,4013.37,21,8.2,8,0,101042,259424,0,0
62319446-dde3-4791-a345-443570316a7f,a7f14ec6-d7f1-41c1-8a88-69fd6a5d807b,Fully Paid,39138,Short Term,731,751336,4,Home Mortgage,10894.41,50,10.6,11,0,77539,302302,0,0
2b05ac45-e1f4-4624-aa86-594437bbe0ab,d532715b-a0ea-4ceb-8b35-71f5a626815e,Fully Paid,449724,Short Term,720,925946,4,Home Mortgage,6643.54,20,9.2,10,2,170069,449570,1,1
9f7daac9-8a61-44e9-920d-bea452d02399,14caac2b-1ab5-4625-adce-733b26643f70,Fully Paid,407528,Long Term,711,928226,2,Rent,18487.38,24,11.1,5,0,263093,333652,0,0
a1301a8a-e66e-4747-beb7-c2f243f2c689,ab46b1a7-f937-4ba9-ac98-270344120cf7,Fully Paid,152372,Short Term,697,845937,0,Rent,2876.22,NA,8.8,10,0,56943,215468,0,0
a1301a8a-e66e-4747-beb7-c2f243f2c689,ab46b1a7-f937-4ba9-ac98-270344120cf7,Fully Paid,152372,Short Term,697,845937,0,Rent,2876.22,15,8.8,10,0,56943,215468,0,0
6d53bc1f-1ade-40a2-a643-512a5fb17be4,9a0ed640-48ab-48c4-9948-5bbb27cd1fe5,Fully Paid,87472,Short Term,695,679896,4,Home Mortgage,6872.68,NA,10.2,4,0,19912,133210,0,0
2a5711a9-77e0-45cc-9c67-9ff1aaa87274,6c9bb30e-e5eb-4b42-a5af-936e5f86bf00,Fully Paid,94534,Short Term,718,777556,2,Rent,12894.35,6,8.7,8,0,49286,72050,0,0
c58fcbf7-7979-4a82-839c-d91d04024215,e7bbc5c3-bd7a-4803-a170-7eaa2d8de78a,Charged Off,131934,Short Term,717,531734,1,Rent,16395.1,13,8.4,9,0,120612,160512,0,0
3d1e6aa6-5a14-4229-9a94-0e6ec8b48bdb,87af014b-f368-4d7c-8f8d-8f59d5efc338,Fully Paid,208670,Short Term,703,566124,4,Home Mortgage,3811.97,NA,11.7,7,0,171779,264506,0,0
1e50b362-3877-4502-858f-a09548c0f156,9cfde7db-c5d9-40cb-84e4-210f6b28204d,Fully Paid,324346,Short Term,742,954370,4,Rent,17019.63,NA,10,17,0,121448,404096,0,0
a273e504-4fed-41a0-89dc-684b8179216b,86c15f3a-1d5d-497c-8780-0d3935c0a927,Charged Off,32450,Short Term,711,653904,3,Rent,11770.12,NA,8.2,11,0,129656,231308,0,0
1e0a4796-8f1c-497a-9a98-d1b2cd8811f3,67fe8a0d-24d8-4d2c-a212-301c782b0bbb,Charged Off,261492,Short Term,732,463258,5,Rent,8724.61,48,9.9,9,0,134862,281358,0,0
c338654b-8abf-4146-bf73-7b468c6aaca9,90ae759f-f8c8-41b7-ba0c-e0d1a334f568,Charged Off,221320,Short Term,740,860130,10,Home Mortgage,5390.11,69,14,11,1,117952,378334,1,0
77cc3555-4d3f-4bba-815d-20e4a017eee2,93035ff7-abf6-4594-b4dd-311b27fdc293,Fully Paid,66572,Short Term,747,785707,2,Home Mortgage,13618.82,42,8.3,7,0,16302,132990,0,0
2b672154-43a1-499f-81d3-39606b5bd1f7,97c74279-0e75-4470-b870-c2549bafe481,Fully Paid,96800,Short Term,712,371564,3,Rent,6874.01,35,14.1,14,0,177688,340054,0,0
b7979e92-3d7d-4f19-b085-2be0fc7151cf,f4786c56-1c62-41e7-9946-d9edf07d8491,Fully Paid,234762,Short Term,731,784833,2,Rent,5958.21,7,14.1,4,1,88122,123398,1,0
0421e124-364f-4f48-9d69-71e0261c5e59,9ce42db6-b72e-47f5-a49c-74014a4a7bde,Fully Paid,132000,Short Term,713,440895,4,Home Mortgage,6797.06,NA,11.9,11,0,207347,301246,0,0
cb16ec08-63a2-419f-b423-d58556437706,86eb3c64-6f2e-4d6d-a60b-38b395d17aaa,Fully Paid,351714,Short Term,740,837235,8,Home Mortgage,6551.2,NA,9.5,6,0,204858,422092,0,0
c779f94b-7208-4898-a667-db867b2d84f4,7fcad6e2-0549-426b-be7c-ffe7f31bdbc1,Fully Paid,172040,Short Term,748,670985,10,Home Mortgage,10847.48,30,14.7,6,0,12901,164186,0,0
56dd4734-1ea7-4a3c-b5b3-034acc7b353a,acce851e-641d-4ebb-affc-45346df60602,Fully Paid,263318,Short Term,738,707085,1,Rent,12962.94,27,14.8,10,0,232940,451770,0,0
287bd76c-9016-4968-b1b6-d5a4e58b1be2,f1edd45a-607c-4712-b661-36435d7a753a,Fully Paid,87428,Short Term,743,692474,0,Rent,7444.2,10,10.7,15,0,106799,464882,0,0
b37b2a63-f132-4770-8e8f-0933d6aaa5a6,c0af1fb1-7c34-46ad-bc06-b742f44c7f2e,Fully Paid,175010,Short Term,703,785973,10,Home Mortgage,9890.26,5,12.1,5,0,182115,234036,0,0
7a833e82-c8b4-4eff-8e03-e641458d3791,2f084f8f-afbd-44d2-939d-c914fbe9b62a,Charged Off,134992,Short Term,728,437209,2,Rent,9691.33,26,7.7,5,0,102315,180048,0,0
300d2289-c68b-40c7-82ad-6c8c4e4f0e12,2c84d7cb-d702-4479-bc5b-7cf5a9f0e1c8,Fully Paid,262174,Long Term,703,935655,3,Rent,8966.67,32,11.3,8,0,104405,366322,0,0
6b9fdc83-4696-479c-8ab1-cc35e2233cd8,4bfbef83-43cb-4f97-83d8-b8fe05fd4a57,Fully Paid,347996,Long Term,700,686945,1,Own Home,3932.81,17,11,7,0,164578,227678,0,0
4a5dc62a-0421-4e2c-ad87-1cb2f2c7805a,2a336913-4dc5-4657-be02-6e6c96aef479,Fully Paid,111034,Short Term,699,348707,0,Rent,5957.07,NA,12.7,5,0,116204,190586,0,0
69907e52-9b97-437a-b5dc-b59b30210ea3,b9780ccd-cae9-4727-a002-1549fc0ac424,Fully Paid,237116,Short Term,721,655310,1,Rent,6880.66,72,14.5,5,0,229026,328218,0,0
24c0aa85-c743-4ee7-80a4-1b64f170bf0b,562b632e-fcc1-438a-9748-951e1d9867ce,Charged Off,279862,Short Term,680,929575,1,Rent,6600.03,48,13.6,5,0,224143,286462,0,0
5c42bb27-a15b-478c-b11f-fb542acb082d,780a5a3e-61e6-4473-b00d-a4109f2361a6,Fully Paid,196196,Short Term,739,378632,1,Home Mortgage,2120.4,NA,6.8,3,0,80028,188320,0,0
db5aba7e-1076-4df9-b708-9437a6993c1f,106c85d5-cdf6-4323-99d3-22d993aaecd0,Charged Off,111122,Short Term,693,767752,7,Rent,4184.18,NA,10.1,3,0,35701,86658,0,0
4334f85c-49e5-4001-9298-914715775555,0f002804-4b3c-4ab3-a5ad-331f1548ca2c,Fully Paid,287408,Short Term,699,992845,6,Rent,6014.83,65,8,7,0,93005,192302,0,0
26ebadea-0dab-4600-8fb6-5c09b2efa230,716d4bf3-6479-428d-9979-904aaf7a453c,Fully Paid,182028,Short Term,723,655025,5,Rent,20251.15,46,5,5,0,134045,257818,0,0
930c7cb3-6086-434a-9547-3ed41c181552,19941661-98e2-4800-93c9-a0e92057c813,Fully Paid,266794,Long Term,686,576042,0,Own Home,12336.89,25,5.8,9,0,233206,342232,0,0
4b61a06f-f245-4542-b7c8-02201f1c842d,206609fa-9e43-4fcf-a0f9-4e7103eecc4c,Charged Off,105468,Short Term,738,702088,4,Rent,1006.24,17,9.4,13,0,28139,221650,0,0
943b232e-554e-456d-9627-142a348885c8,78b23697-9228-4ef6-a770-478c0171b764,Fully Paid,131274,Short Term,723,543837,4,Rent,10378.18,NA,14.3,4,0,83942,126390,0,0
0d85eeb0-b1ff-4a58-9921-9d07a30c53f0,51a7e7bb-5520-48f9-a1b8-9813e8107db3,Fully Paid,67496,Short Term,725,582825,10,Rent,5925.34,NA,5.5,5,0,33706,112486,0,0
656ed1dc-227b-4b09-a305-51f1b57bf92f,86242eec-2c69-448a-93c5-c7d128eba38a,Charged Off,216524,Long Term,688,934990,4,Rent,16050.63,4,11,10,0,113373,314072,0,0
6edfbe6d-979d-49d8-9fc8-63112947481a,173c7174-1d5e-4e59-bdee-354b32a171c5,Fully Paid,109582,Short Term,744,813903,2,Rent,11665.81,NA,8.7,6,0,16910,89760,0,0
ed671727-14ad-4da8-9f37-fb8cce3c97f0,676a91e7-f978-4897-857d-b0619a354c08,Charged Off,110814,Short Term,742,459325,4,Own Home,8306.23,11,7.9,15,0,125153,296956,0,0
915a3d53-e021-4a0b-a925-70298c925696,85338b3c-6715-4eca-81f4-44540110f1cb,Fully Paid,158620,Short Term,694,475665,5,Own Home,3900.51,54,9.8,11,0,84835,383724,0,0
faff168a-96e7-4cff-bfa6-7d4a4504a2e2,817f26dc-b23c-44ca-a4e8-aa076cb7ea05,Fully Paid,146366,Short Term,724,816753,4,Rent,13864.3,NA,12.8,12,0,168454,263560,0,0
08ec4d2f-cd15-4cec-88cb-6edbb8c4ac5c,7f97ade2-4720-42c6-ab28-9ebcea043cf2,Fully Paid,130944,Short Term,720,584288,1,Rent,9835.54,NA,10.4,4,0,43605,157322,0,0
c9a8f33a-203f-4887-8568-b095255d0a57,1cd3aa7c-4376-493b-acad-cb29ebcd9257,Fully Paid,134684,Short Term,735,579899,4,Rent,7345.4,10,10.6,5,0,30115,65032,0,0
be347108-7788-40f8-97aa-360646952a46,3fa09eea-e901-4afb-a78d-adb917a38a45,Fully Paid,224092,Short Term,721,696730,4,Rent,10683.13,NA,7.7,7,0,119377,219736,0,0
0a4e3593-ec9e-4187-92bf-caaabbeb8304,a98bbd37-206d-4f81-a644-dacac1b23e51,Charged Off,216942,Short Term,735,599545,10,Own Home,11691.27,35,14,12,1,159296,312620,1,0
235da337-b56c-4b00-9457-82d03026ca2c,bde2c558-d1f8-4e9b-8920-ea8241a90ee9,Fully Paid,106106,Short Term,719,954579,3,Own Home,4598,NA,10.8,9,1,117344,358468,1,0
85693eb0-7243-44f6-87ca-eb73a2c45a4a,e65846b9-f042-4bfd-84c2-61688ed2ab17,Fully Paid,110242,Short Term,716,914014,1,Rent,13481.64,24,15,11,0,62833,112442,0,0
299c1de9-0ca7-4a50-a201-de1b058921b2,3d2ea5a2-7d1a-47d3-89c9-4e3dd926aaeb,Fully Paid,92092,Short Term,723,852188,8,Rent,10439.17,31,12.4,6,0,124583,142560,0,0
84a8c6a7-7582-41c6-8363-2711a250d9a3,fad03dfc-cc27-4955-ba69-93fa069e3431,Fully Paid,285670,Short Term,744,934515,4,Rent,6074.3,19,14.4,10,0,192907,474232,0,0
0ea1ae8e-940b-496d-bd2c-13bdc94cc58e,979675c7-4cb6-497d-9941-9ed2562c6c60,Charged Off,414414,Short Term,740,813732,5,Home Mortgage,4428.14,65,9.2,9,0,87286,279202,0,0
6889d05f-ca1d-47e7-ae1f-2a9230619005,71a86951-50e3-43ab-9d06-87d7bc264e33,Fully Paid,172700,Short Term,723,775542,10,Rent,19840.94,41,14.9,12,1,109269,213708,1,0
fe95dd80-c0b8-4323-bf8d-bfc96799c5e1,77c6b54a-a0a3-4dda-8ac2-2af5988846f5,Fully Paid,214566,Short Term,694,965105,7,Rent,8525.11,NA,14.8,5,1,127452,163064,1,0
7ca088ee-60cc-4898-a042-c5f02907a60d,baf401b2-5313-499c-9ae3-1d9369c37d3a,Fully Paid,143506,Short Term,739,896135,9,Rent,13740.61,NA,10.4,12,1,148504,428824,1,0
e70fbdb4-5aff-4717-ba28-a268150c23ea,6134f961-2dd3-4773-806c-33289517dddc,Fully Paid,92642,Long Term,689,571539,2,Rent,5924.96,73,12.1,6,0,26961,90464,0,0
982fb165-0a1f-4a4f-9ea9-d87cd2a173e5,57edc3a9-1995-4333-b173-a45504ac7a1e,Fully Paid,151822,Short Term,723,936605,4,Rent,7625.46,NA,12.1,3,0,49495,119372,0,0
02e61d35-f990-467e-9b0d-9bc78de9b594,9f971c03-73fa-4cb0-9b71-95eb9a8ff399,Fully Paid,172040,Short Term,705,722988,3,Rent,5850.1,24,11.4,8,0,142082,413358,0,0
99079569-4412-403e-989c-3dac93ca2762,aac67f72-fe21-4656-b675-af81e6d1c4ac,Fully Paid,196658,Short Term,732,650655,0,Rent,15073.46,60,15,7,0,190684,307934,0,0
80c49eaf-2e3c-47cf-88f0-50a561deb4b6,328c2ba0-7bab-4cc6-839f-5b282bc7d38a,Fully Paid,248248,Short Term,710,618089,10,Rent,6953.62,15,12.8,6,0,51585,136378,0,0
d7ed1789-3c58-4074-bdd3-493c5ddc85fb,df7bea99-4e87-4c5e-8f76-9c2c4d147e01,Fully Paid,332970,Long Term,723,996892,0,Rent,19190.19,77,12.8,14,0,209836,310684,0,0
e86bfd72-fe27-4a4d-8aad-d9abd61588af,18672bb4-e1e4-4e7c-aa98-2fde18bf316c,Fully Paid,40524,Short Term,719,671194,10,Rent,10515.17,NA,11,14,1,380,450296,1,0
da7d067c-18a2-472d-8767-65431816701b,d7cf94ac-982c-49b7-9ff0-2cbda3c67f93,Fully Paid,48246,Short Term,655,787797,3,Home Mortgage,2934.55,18,10,14,0,117686,293700,0,0
6c8099ac-d75f-41dd-bb1c-fd3ef1d54788,d0b91e68-6d24-4a62-8b89-155620a21f8d,Fully Paid,131956,Short Term,737,569829,6,Rent,13723.32,NA,11.4,10,0,184243,237578,0,0
f51c25a7-13ad-4528-8b98-81caf4659f7a,c2e8c7a6-7578-45d7-9407-39ae9bf21521,Fully Paid,85844,Short Term,716,688218,5,Rent,6882.18,9,13.7,13,0,209703,341022,0,0
bbfa8ed0-ecaf-45a6-9392-a25a645ee576,8e2c334e-025d-4f1b-905f-34cb098caf14,Fully Paid,172348,Short Term,719,753692,3,Rent,8102.17,80,14.1,5,0,74100,135344,0,0
418c4277-ccb0-428f-9d41-e4800356f1ac,226e350f-e782-4ae3-876b-4d2b676afc19,Fully Paid,171820,Short Term,742,797639,7,Rent,14025.04,NA,11.9,12,0,173660,305118,0,0
dbc9fb86-ab78-4f7c-a5db-3a1519d1c217,49b32f45-ca26-4fa3-9ec6-2bf05e7bd3f8,Fully Paid,216040,Short Term,727,932881,0,Rent,16014.53,70,14.4,8,0,195054,276782,0,0
cb522823-627f-4f4d-a563-018f0958bf89,5c821f35-7ee0-4d75-9daf-f7c49085c3d0,Fully Paid,158136,Short Term,690,866476,2,Rent,2729.35,38,14.1,15,0,63156,115522,0,0
7e88615e-5300-4674-b757-42f22065abcc,bf242e3e-66ac-43ae-bfc0-73c9c556b9d0,Fully Paid,257400,Short Term,720,703950,3,Rent,3132.53,35,11.4,5,0,93233,175824,0,0
73355945-9099-41cf-b30a-4881d0ddf04c,48558568-496f-437f-b04b-6a99d8390fc3,Fully Paid,21824,Short Term,748,622041,0,Rent,6163.6,NA,15,6,0,15333,21824,0,0
ec74ba19-c5fa-46fb-b181-6ea7c36b0b44,8147b8dc-d83b-449e-a7ef-8ffa03702f5d,Fully Paid,255662,Short Term,724,763040,3,Rent,14561.22,NA,12.5,13,0,273714,395208,0,0
3207ac19-8475-4041-98d5-ea0397614050,5bad259c-eb19-49f6-acf8-b4fe2f24b700,Charged Off,80234,Short Term,730,461928,0,Rent,7660.23,47,8,12,0,47994,66880,0,0
4914ea8e-368d-463c-9f84-9c421e4e7795,0c03bf72-7ce6-4ba9-a929-e4103da5dba5,Fully Paid,212256,Short Term,727,907212,4,Rent,20261.22,NA,14.1,6,0,265164,348898,0,0
a52d20e1-7d03-4fdc-a255-dd32e3ca56d5,f751cace-c532-4677-998d-a9d74a8d9806,Charged Off,48268,Short Term,720,217911,0,Own Home,4013.18,NA,7.4,6,0,71782,138292,0,0
9d7206fe-4551-4500-a051-897e0d550fa9,a78200ed-9a91-4667-9647-47cfe8041150,Fully Paid,173712,Short Term,723,656355,3,Rent,11978.55,6,12.5,9,0,124051,271524,0,0
258be36a-d8c7-4e2e-a72d-e8c18e69fd7b,9df45839-070a-4ca9-8823-fad775d80f7e,Fully Paid,120472,Short Term,711,677502,0,Own Home,8638.16,NA,8.1,19,0,146699,206162,0,0
6d9158f5-ab8e-4d07-8938-07e10691f7b3,59d717c7-daba-4eac-b818-ee5a6a257083,Charged Off,207636,Short Term,738,933945,4,Home Mortgage,2015.9,6,14.2,8,0,106666,307208,0,0
504193be-27ea-41da-8718-e5cf1f51c446,e6c640ef-c258-4fdc-b92a-af7f8acf34da,Fully Paid,173118,Short Term,714,672790,4,Rent,17604.45,NA,10,6,0,129010,183964,0,0
3b40832c-9495-4cad-af09-d941d2660e8f,d4683df2-6cb0-4417-a1b7-af6e37757085,Fully Paid,198616,Short Term,717,773072,3,Home Mortgage,16492.19,82,13,13,0,74252,109670,0,0
fccc0f89-d3a1-4cf2-9b39-bb915ae97b9a,91e4ce3b-d824-4041-aedb-fb4f64142cd9,Fully Paid,429264,Short Term,715,704387,4,Rent,9391.89,74,13,12,0,26809,229900,0,0
71227ba8-edea-4c69-a624-5cff10971fbe,044ed96e-752a-41b9-a21b-18f9b18c1c34,Charged Off,171952,Short Term,729,742520,10,Rent,13612.74,25,12,8,1,93974,165616,1,0
163cfd9f-0d9b-4f5d-aa4d-c18727be447d,da832d82-ba12-4be1-a2c9-944bfa59c9dd,Fully Paid,108064,Short Term,715,563844,4,Rent,5920.21,9,9.4,3,0,37753,45034,0,0
251134b4-ef01-474d-ba80-d6e731c00ef9,48ecb5f6-bd0f-4c88-b254-74e8e1eeb814,Fully Paid,325512,Short Term,713,930601,10,Rent,15044.77,NA,12.2,6,0,161025,242462,0,0
965df1a4-0218-48ac-a232-165397cc084a,1918512f-7d02-4e03-ad10-c321db9bd0d6,Fully Paid,78430,Short Term,699,620977,0,Rent,11384.61,NA,11.4,15,0,87837,309144,0,0
2416cfeb-a146-419f-9c59-b672c27360fa,511909f0-3ab2-4929-a383-6bf74f93b74d,Charged Off,212058,Short Term,690,763116,3,Rent,7313.1,32,6.8,10,0,142861,386474,0,0
58f94256-7aac-4d31-8301-00f640d48f21,4da089b3-2a0e-4bd1-ac95-1ba125bdcdbb,Fully Paid,112706,Short Term,744,973275,10,Home Mortgage,7688.92,NA,13,9,0,99750,220814,0,0
b4d4d659-289d-43d1-bcc6-d9ea07e22c06,e14cce30-64ca-4c2d-a561-2a9e32794fae,Charged Off,238854,Long Term,703,693861,7,Rent,16652.74,0,14,13,0,132240,293348,0,0
7de7326d-9fdb-4b43-b0f8-291e402a16cf,755a116f-d5b7-40fb-b8f0-583c9b52cabc,Fully Paid,287386,Long Term,705,700967,4,Home Mortgage,34.96,NA,6.5,5,1,38,0,1,0
6b79022e-6712-41a5-855d-20311ab40d2f,85ee2e04-1cd1-428d-a66a-e658f9ea48f7,Fully Paid,245278,Long Term,683,916009,8,Home Mortgage,15648.59,NA,9.5,7,0,75886,291962,0,0
3d9ea4ff-e667-4640-a266-bb1abafca5ee,24eeadbe-2a30-47d8-8289-bced495414ac,Fully Paid,85954,Short Term,718,556719,3,Rent,1874.35,NA,4.9,4,0,73131,193336,0,0
